"","reason","nsnp"
"920","Immune reponse to smallpox (secreted IL-1beta) (EA) (NA)",4
"921","Immune reponse to smallpox (secreted IL-2) (AA) (NA)",5
"922","Immune reponse to smallpox (secreted IL-2) (EA) (NA)",3
"923","Immune reponse to smallpox (secreted TNF-alpha) (AA) (NA)",1
"924","Immune response to measles-mumps-rubella vaccine (IFN gamma response) (NA)",2
"925","Immune response to smallpox vaccine (IL-6) (AA) (NA)",8
"926","Immune response to smallpox vaccine (IL-6) (Hispanic) (NA)",2
"927","Immunoglobulin A (NA)",3
"928","Immunoglobulin G index levels in multiple sclerosis (unit increase)",2
"929","Infantile hypertrophic pyloric stenosis (NA)",4
"930","Infant length (unit increase)",11
"931","Inflammatory biomarkers (ESR) (NA)",2
"932","Inflammatory biomarkers (hsCRP-IL6 pattern prefenofibrate) (NA)",1
"933","Inflammatory biomarkers (hsCRP) (NA)",2
"934","Inflammatory biomarkers in Kawasaki disease (mg/dL increase)",1
"935","Inflammatory biomarkers (MCP-1) (NA)",2
"936","Inflammatory biomarkers (unit increase) (IL18) (unit increase)",2
"937","Inflammatory biomarkers (unit increase) (IL-1ra) (unit increase)",1
"938","Inflammatory bowel disease (early onset) (NA)",4
"939","Inflammatory bowel disease (NA)",113
"940","Inflammatory skin disease (Atopic dermatitis) (NA)",1
"941","Inflammatory skin disease (Opposed) (NA)",1
"942","Inflammatory skin disease (Psoriasis) (NA)",7
"943","Information processing speed (LDST/DSST- age, sex, and education adjusted) (unit increase)",1
"944","Insulin-like growth factors (IGFBP-3) (NA)",4
"945","Insulin-related traits (FI) (unit increase)",1
"946","Insulin-related traits (IR) (unit increase)",1
"947","Interferon alpha levels in systemic lupus erythematosus (EA) (NA)",1
"948","Interleukin-18 levels (NA)",2
"949","Interstitial lung disease (NA)",11
"950","Intracerebral hemorrhage (NA)",1
"951","Intracranial aneurysm (NA)",11
"952","Intracranial volume (ml increase)",2
"953","Intraocular pressure (mm Hg increase) (mm Hg increase)",8
"954","Intraocular pressure (mmHg increase) (mmHg increase)",1
"955","Intraocular pressure (unit increase) (unit increase)",1
"956","Iris characteristics (Crypts) (unit increase)",1
"957","Iris characteristics (Furrows) (unit increase)",1
"958","Iris characteristics (Pigmented Ring) (unit increase)",1
"959","Iris color (NA)",1
"960","Iron levels (ug/dL increase)",1
"961","Iron status biomarkers (ferritin levels) (unit increase)",5
"962","Iron status biomarkers (iron levels) (unit increase)",5
"963","Iron status biomarkers (mg/dl increase) (mg/dl increase)",1
"964","Iron status biomarkers (s.d. increase) (serum transferrin) (s.d. increase)",1
"965","Iron status biomarkers (transferrin levels) (unit increase)",9
"966","Iron status biomarkers (transferrin saturation) (NA)",2
"967","Iron status biomarkers (transferrin saturation) (unit increase)",4
"968","Iron status biomarkers (ug/dl increase) (ug/dl increase)",2
"969","Iron status biomarkers (unit increase) (ferritin) (unit increase)",1
"970","Iron status biomarkers (unit increase) (sTfR) (unit increase)",4
"971","Iron status biomarkers (unit increase) (TIBC) (unit increase)",2
"972","Ischemic stroke (NA)",1
"973","Kashin-Beck disease (NA)",1
"974","Kawasaki disease (NA)",8
"975","Keloid (NA)",3
"976","Kidney function decline traits (eGFRchange overall) (unit increase)",1
"977","Kidney stones (NA)",1
"978","Knee osteoarthritis (NA)",1
"979","Large artery stroke (NA)",1
"980","L-arginine levels (unit increase)",1
"981","Laryngeal squamous cell carcinoma (NA)",3
"982","LDL cholesterol (LDL) (NA)",1
"983","LDL cholesterol (mg/dl increase) (mg/dl increase)",3
"984","LDL cholesterol (mg/dL increase) (mg/dL increase)",9
"985","LDL cholesterol (mmol/L increase) (mmol/L increase)",1
"986","LDL cholesterol (NA)",1
"987","LDL cholesterol (percentage SD increase) (percentage SD increase)",4
"988","LDL cholesterol (% s.d. increase) (% s.d. increase)",1
"989","LDL cholesterol (s.d. increase) (s.d. increase)",13
"990","LDL cholesterol (unit increase) (AA) (unit increase)",5
"991","LDL cholesterol (unit increase) (unit increase)",54
"992","LDL (oxidized) (U/L increase)",1
"993","Left inferior lateral ventricle volume (Cerebrospinal fluid biomarker status interaction) (Baseline, amyloid positive) (interaction)",1
"994","Left inferior lateral ventricle volume (Cerebrospinal fluid biomarker status interaction) (Dilation, amyloid positive) (interaction)",2
"995","Leishmaniasis (visceral) (NA)",1
"996","Leprosy (NA)",26
"997","Lewy body disease (Ordinal I) (unit increase)",1
"998","Lifespan (unit increase)",1
"999","Lipid levels in hepatitis C treatment (NA)",1
"1000","Lipid metabolism phenotypes (Albumin) (unit increase)",1
"1001","Lipid metabolism phenotypes (APOB.assay, whole) (unit increase)",4
"1002","Lipid metabolism phenotypes (HDL-C.assay, fasting) (unit increase)",1
"1003","Lipid metabolism phenotypes (HDL-C.assay, whole) (unit increase)",2
"1004","Lipid metabolism phenotypes (HDL-C.by.NMR, whole) (unit increase)",1
"1005","Lipid metabolism phenotypes (HDL-C) (unit increase)",1
"1006","Lipid metabolism phenotypes (HDL.large, fasting) (unit increase)",1
"1007","Lipid metabolism phenotypes (HDL.large, whole) (unit increase)",1
"1008","Lipid metabolism phenotypes (HDL.total, whole) (unit increase)",1
"1009","Lipid metabolism phenotypes (IDL.total, whole) (unit increase)",1
"1010","Lipid metabolism phenotypes (LA/PUFA) (unit increase)",2
"1011","Lipid metabolism phenotypes (LDL-C.assay, fasting) (unit increase)",1
"1012","Lipid metabolism phenotypes (LDL-C.assay, whole) (unit increase)",2
"1013","Lipid metabolism phenotypes (LDL.large, whole) (unit increase)",1
"1014","Lipid metabolism phenotypes (LDL.total, fasting) (unit increase)",1
"1015","Lipid metabolism phenotypes (L-LDL-FC) (unit increase)",2
"1016","Lipid metabolism phenotypes (M-LDL-C/M-LDL-PL) (unit increase)",1
"1017","Lipid metabolism phenotypes (MobCH) (unit increase)",1
"1018","Lipid metabolism phenotypes (M-VLDL-PL) (unit increase)",1
"1019","Lipid metabolism phenotypes (TG.assay, whole) (unit increase)",1
"1020","Lipid metabolism phenotypes (Tot-C/Est-C) (unit increase)",1
"1021","Lipid metabolism phenotypes (Val/serum TG) (unit increase)",1
"1022","Lipid metabolism phenotypes (VLDL-D) (unit increase)",1
"1023","Lipid metabolism phenotypes (VLDL.medium, fasting) (unit increase)",1
"1024","Lipid metabolism phenotypes (VLDL.small, fasting) (unit increase)",2
"1025","Lipid metabolism phenotypes (VLDL.small, whole) (unit increase)",1
"1026","Lipid metabolism phenotypes (VLDL.total, fasting) (unit increase)",1
"1027","Lipid metabolism phenotypes (VLDL.total, whole) (unit increase)",1
"1028","Lipid metabolism phenotypes (XL-HDL-CE) (unit increase)",1
"1029","Lipid metabolism phenotypes (XL-HDL-TG) (unit increase)",2
"1030","Lipid metabolism phenotypes (XXL-VLDL-P) (unit increase)",1
"1031","Lipid traits (mmol/L increase) (HDL) (mmol/L increase)",3
"1032","Lipid traits (mmol/L increase) (LDL) (mmol/L increase)",2
"1033","Lipid traits (mmol/L increase) (TC) (mmol/L increase)",1
"1034","Lipid traits (mmol/L increase) (TG) (mmol/L increase)",1
"1035","Lipid traits (unit increase) (HDL-C) (unit increase)",3
"1036","Lipid traits (unit increase) (LDL-C) (unit increase)",2
"1037","Lipid traits (unit increase) (TG) (unit increase)",2
"1038","Lipid traits (unit increase) (Triglycerides) (unit increase)",1
"1039","Lipid traits (unit increase) (unit increase)",1
"1040","Lipoprotein (a) - cholesterol levels (NA)",14
"1041","Lipoprotein-associated phospholipase A2 activity and mass (ng/ml increase) (activity) (ng/ml increase)",6
"1042","Lipoprotein-associated phospholipase A2 activity and mass (ng/ml increase) (mass) (ng/ml increase)",1
"1043","Lipoprotein-associated phospholipase A2 activity and mass (nmol/ml/min increase) (nmol/ml/min increase)",3
"1044","Lipoprotein-associated phospholipase A2 activity and mass (unit increase) (Activity concentrations) (unit increase)",5
"1045","Lipoprotein-associated phospholipase A2 activity and mass (unit increase) (Mass concentrations) (unit increase)",2
"1046","Lipoprotein-associated phospholipase A2 activity change in response to statin therapy (percent increase) (percent increase)",2
"1047","Liver enzyme levels (alanine transaminase) (% increase) (% increase)",4
"1048","Liver enzyme levels (alkaline phosphatase) (% increase)",14
"1049","Liver enzyme levels (ALP) (U/L increase)",5
"1050","Liver enzyme levels (ALT) (U/L increase)",2
"1051","Liver enzyme levels (gamma-glutamyl transferase) (% increase)",26
"1052","Liver enzyme levels (GGT) (U/L increase)",2
"1053","Local histogram emphysema pattern (unit increase) (Moderate Centrilobular, EA) (unit increase)",1
"1054","Local histogram emphysema pattern (unit increase) (Moderate Centrilobular) (unit increase)",2
"1055","Local histogram emphysema pattern (unit increase) (normal) (unit increase)",3
"1056","Local histogram emphysema pattern (unit increase) (Panlobular) (unit increase)",2
"1057","Local histogram emphysema pattern (unit increase) (Severe Centrilobular) (unit increase)",2
"1058","Longevity (85 years and older) (NA)",1
"1059","Longevity (90 years and older) (NA)",2
"1060","Longevity (NA)",2
"1061","Lp (a) levels (mg/dl increase) (mg/dl increase)",1
"1062","Lp (a) levels (mg/dL increase) (mg/dL increase)",3
"1063","Lumiracoxib-related liver injury (NA)",1
"1064","Lung adenocarcinoma (NA)",9
"1065","Lung cancer (Adenocarcinoma) (NA)",1
"1066","Lung cancer (NA)",13
"1067","Lung cancer (Squamous cell carcinoma) (NA)",2
"1068","Lymphoma (FL) (NA)",4
"1069","Lymphoma (LYM) (NA)",1
"1070","Magnesium levels (mmol/L increase) (mmol/L increase)",6
"1071","Major depressive disorder (% improvement - 12 weeks) (NA)",1
"1072","Major depressive disorder (NA)",1
"1073","Major depressive disorder (unit increase) (% improvement - SSRI treated - 2 weeks) (unit increase)",1
"1074","Major mood disorders (NA)",1
"1075","Malaria (NA)",6
"1076","Male-pattern baldness (males) (NA)",1
"1077","Male-pattern baldness (NA)",10
"1078","Mammographic density (dense area) (NA)",1
"1079","Mammographic density (dense area) (unit increase) (unit increase)",7
"1080","Mammographic density (non-dense area) (unit increase) (unit increase)",1
"1081","Marginal zone lymphoma (NA)",2
"1082","Mathematical ability in children with dyslexia (% increase)",1
"1083","Matrix metalloproteinase levels (unit increase) (unit increase)",3
"1084","Mean corpuscular hemoglobin concentration (unit increase) (AA) (unit increase)",2
"1085","Mean corpuscular hemoglobin concentration (unit increase) (unit increase)",8
"1086","Mean corpuscular hemoglobin (pg increase) (pg increase)",9
"1087","Mean corpuscular hemoglobin (unit increase) (AA) (unit increase)",1
"1088","Mean corpuscular hemoglobin (unit increase) (unit increase)",19
"1089","Mean corpuscular volume (fl increase) (fl increase)",15
"1090","Mean corpuscular volume (unit increase) (AA) (unit increase)",2
"1091","Mean corpuscular volume (unit increase) (unit increase)",19
"1092","Mean platelet volume (10^9 L increase) (10^9 L increase)",7
"1093","Mean platelet volume (fl increase) (fl increase)",7
"1094","Mean platelet volume (fL increase) (fL increase)",2
"1095","Mean platelet volume (ln(fl) increase) (ln(fl) increase)",29
"1096","Mean platelet volume (per log fl increase) (per log fl increase)",1
"1097","Mean platelet volume (unit increase) (unit increase)",3
"1098","Melanoma (NA)",13
"1099","Menarche (age at onset) (months increase) (months increase)",1
"1100","Menarche (age at onset) (unit increase) (EA) (unit increase)",1
"1101","Menarche (age at onset) (unit increase) (unit increase)",117
"1102","Menarche (age at onset) (week increase) (week increase)",20
"1103","Menarche (age at onset) (year increase) (year increase)",1
"1104","Menarche and menopause (age at onset) (age at menarche) (years increase)",2
"1105","Menarche and menopause (age at onset) (age at natural menopause) (years increase)",3
"1106","Meningioma (NA)",1
"1107","Meningococcal disease (NA)",1
"1108","Menopause (age at onset) (years increase) (years increase)",20
"1109","Mesial temporal lobe epilepsy with hippocampal sclerosis (MTLEHS+FS vs. Controls) (NA)",1
"1110","Metabolic syndrome (bivariate traits) (BP-HDLC) (unit increase)",2
"1111","Metabolic syndrome (bivariate traits) (HDLC-GLUC) (unit increase)",3
"1112","Metabolic syndrome (bivariate traits) (HDLC-WC) (unit increase)",3
"1113","Metabolic syndrome (bivariate traits) (TG-GLUC) (unit increase)",4
"1114","Metabolic syndrome (cm increase) (cm increase)",1
"1115","Metabolic syndrome (mmHg increase) (SBP) (mmHg increase)",1
"1116","Metabolic syndrome (mmol/l increase) (GLU) (mmol/l increase)",5
"1117","Metabolic syndrome (mmol/l increase) (HDL) (mmol/l increase)",11
"1118","Metabolic syndrome (mmol/l increase) (TG) (mmol/l increase)",6
"1119","Metabolic syndrome (unit increase) (unit increase)",5
"1120","Metabolic traits (mmol/l increase) (CRP) (mmol/l increase)",2
"1121","Metabolic traits (mmol/l increase) (GLU) (mmol/l increase)",1
"1122","Metabolic traits (mmol/l increase) (TG) (mmol/l increase)",2
"1123","Metabolic traits (unit increase) (5-oxoproline) (unit increase)",1
"1124","Metabolic traits (unit increase) (alpha-hydroxyisovalerate + 6 other traits) (unit increase)",1
"1125","Metabolic traits (unit increase) (androsterone sulfate + 2 other traits) (unit increase)",1
"1126","Metabolic traits (unit increase) (aspartylphenylalanine) (unit increase)",1
"1127","Metabolic traits (unit increase) (bradykinin, des-arg(9)) (unit increase)",1
"1128","Metabolic traits (unit increase) (caffeine/quinate + 3 other traits) (unit increase)",1
"1129","Metabolic traits (unit increase) (carnitine) (unit increase)",1
"1130","Metabolic traits (unit increase) (decanoylcarnitine + 25 other traits) (unit increase)",1
"1131","Metabolic traits (unit increase) (glucose/mannose + 54 other traits) (unit increase)",1
"1132","Metabolic traits (unit increase) (glutamine + 7 other traits) (unit increase)",1
"1133","Metabolic traits (unit increase) (glutaroyl carnitine/lysine + 3 other traits) (unit increase)",1
"1134","Metabolic traits (unit increase) (glycine + 17 other traits) (unit increase)",1
"1135","Metabolic traits (unit increase) (inosine + 1 other trait) (unit increase)",1
"1136","Metabolic traits (unit increase) (isobutyrylcarnitine + 3 other traits) (unit increase)",1
"1137","Metabolic traits (unit increase) (isoleucine/tyrosine + 10 other traits) (unit increase)",1
"1138","Metabolic traits (unit increase) (isovalerylcarnitine + 7 other traits) (unit increase)",1
"1139","Metabolic traits (unit increase) (proline + 5 other traits) (unit increase)",1
"1140","Metabolic traits (unit increase) (serine) (unit increase)",1
"1141","Metabolic traits (unit increase) (SM-10 + 59 other traits) (unit increase)",1
"1142","Metabolic traits (unit increase) (SM-1 + 12 other traits) (unit increase)",1
"1143","Metabolic traits (unit increase) (SM-11 + 2 other traits) (unit increase)",1
"1144","Metabolic traits (unit increase) (SM-12 + 1 other trait) (unit increase)",1
"1145","Metabolic traits (unit increase) (SM-13) (unit increase)",1
"1146","Metabolic traits (unit increase) (SM-14 + 6 other traits) (unit increase)",1
"1147","Metabolic traits (unit increase) (SM-15 + 12 other traits) (unit increase)",1
"1148","Metabolic traits (unit increase) (SM-16 + 7 other traits) (unit increase)",1
"1149","Metabolic traits (unit increase) (SM-17 + 8 other traits) (unit increase)",1
"1150","Metabolic traits (unit increase) (SM-2 + 2 other traits) (unit increase)",1
"1151","Metabolic traits (unit increase) (SM-3 + 152 other traits) (unit increase)",1
"1152","Metabolic traits (unit increase) (SM-4 + 74 other traits) (unit increase)",1
"1153","Metabolic traits (unit increase) (SM-5 + 17 other traits) (unit increase)",1
"1154","Metabolic traits (unit increase) (SM-6 + 94 other traits) (unit increase)",1
"1155","Metabolic traits (unit increase) (SM-7 + 11 other traits) (unit increase)",1
"1156","Metabolic traits (unit increase) (SM-9 + 17 other traits) (unit increase)",1
"1157","Metabolic traits (unit increase) (succinylcarnitine) (unit increase)",1
"1158","Metabolic traits (unit increase) (urate, histidine) (unit increase)",1
"1159","Metabolite levels (2,6 dimethylheptanoyl carnitine) (NA)",1
"1160","Metabolite levels (Bilirubin) (NA)",1
"1161","Metabolite levels (C9H14Ona) (NA)",1
"1162","Metabolite levels (Caprolactam) (NA)",1
"1163","Metabolite levels (g/dL increase) (g/dL increase)",2
"1164","Metabolite levels (Glycerolphosphocholine) (NA)",2
"1165","Metabolite levels (Glycerophospho-N-Palmitoyl Ethanolamine) (NA)",1
"1166","Metabolite levels (Glycochenodeoxycholic acid 3-glucuronide) (NA)",1
"1167","Metabolite levels (IU/L increase) (IU/L increase)",2
"1168","Metabolite levels (mg/dL increase) (BUN) (mg/dL increase)",4
"1169","Metabolite levels (mg/dL increase) (FPG) (mg/dL increase)",4
"1170","Metabolite levels (mg/dL increase) (LDL) (mg/dL increase)",4
"1171","Metabolite levels (NA)",30
"1172","Metabolite levels (Pyroglutamine) (unit increase)",1
"1173","Metabolite levels (serine) (NA)",1
"1174","Metabolite levels (SM) (NA)",2
"1175","Metabolite levels (unit increase) (adrenate) (unit increase)",1
"1176","Metabolite levels (unit increase) (Ala, Gln) (unit increase)",1
"1177","Metabolite levels (unit increase) (Ala, Tyr) (unit increase)",1
"1178","Metabolite levels (unit increase) (Ala, Val) (unit increase)",1
"1179","Metabolite levels (unit increase) (betaine) (unit increase)",2
"1180","Metabolite levels (unit increase) (Citrate) (unit increase)",1
"1181","Metabolite levels (unit increase) (Fischer's ratio) (unit increase)",2
"1182","Metabolite levels (unit increase) (Glc) (unit increase)",2
"1183","Metabolite levels (unit increase) (Gln, Glc) (unit increase)",1
"1184","Metabolite levels (unit increase) (Gln, His) (unit increase)",1
"1185","Metabolite levels (unit increase) (glycine) (unit increase)",1
"1186","Metabolite levels (unit increase) (His, Val) (unit increase)",1
"1187","Metabolite levels (unit increase) (N-ACu) (unit increase)",1
"1188","Metabolite levels (unit increase) (Phe, Tyr) (unit increase)",1
"1189","Metabolite levels (unit increase) (Phe) (unit increase)",1
"1190","Metabolite levels (unit increase) (TMAu) (unit increase)",1
"1191","Metabolite levels (Unknown) (NA)",1
"1192","Metabolite levels (% variance) (C12/C10) (% variance)",1
"1193","Metabolite levels (% variance) (C14:1-OH/C10) (% variance)",1
"1194","Metabolite levels (% variance) (C3/C4) (% variance)",1
"1195","Metabolite levels (% variance) (C9/C10:2) (% variance)",1
"1196","Metabolite levels (% variance) (PC aa C36:3/PC aa C36:4) (% variance)",1
"1197","Metabolite levels  (X-11787) (unit increase)",2
"1198","Methotrexate clearance (acute lymphoblastic leukemia) (mL/min/m2 increase)",1
"1199","Methotrexate phramacokinetics (acute lymphoblastic leukemia) (mL/min/m2 increase) (mL/min/m2 increase)",1
"1200","Migraine - clinic-based (NA)",4
"1201","Migraine (NA)",13
"1202","Migraine without aura (NA)",5
"1203","Mixed cryoglobulinemia vasculitis in chronic hepatitis C infection (NA)",2
"1204","Monocyte chemoattractant protein-1 (NA)",2
"1205","Monocyte count (EA) (unit increase)",4
"1206","Monocyte count (Japanese) (unit increase)",2
"1207","Monocyte count (unit increase)",5
"1208","Morbidity-free survival (NA)",2
"1209","Motion sickness (unit increase)",35
"1210","Moyamoya disease (NA)",1
"1211","Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma) (All Cancers) (NA)",2
"1212","Multiple myeloma (hyperdiploidy) (HD vs. controls) (NA)",4
"1213","Multiple myeloma (NA)",6
"1214","Multiple sclerosis (Cluxel size) (NA)",1
"1215","Multiple sclerosis (Conditioned on rs11581062) (NA)",1
"1216","Multiple sclerosis (Conditioned on rs17066096) (NA)",1
"1217","Multiple sclerosis (Conditioned on rs3118470) (NA)",1
"1218","Multiple sclerosis (Conditioned on rs4410871) (NA)",1
"1219","Multiple sclerosis (Conditioned on rs669607) (NA)",1
"1220","Multiple sclerosis (Conditioned on rs7238078) (NA)",1
"1221","Multiple sclerosis (Conditioned on rs9282641) (NA)",1
"1222","Multiple sclerosis (NA)",66
"1223","Multiple sclerosis (OCB status) (NA)",1
"1224","Multiple sclerosis (OCB status) (OCB positive vs. controls) (NA)",5
"1225","Musician's dystonia (NA)",1
"1226","Myasthenia gravis (NA)",3
"1227","Myeloproliferative neoplasms (NA)",1
"1228","Myocardial infarction (early onset) (NA)",9
"1229","Myocardial infarction (NA)",5
"1230","Myopia (NA)",1
"1231","Myopia (pathological) (mm increase) (mm increase)",1
"1232","Myopia (pathological) (NA)",35
"1233","Myopia (severe) (NA)",2
"1234","Narcolepsy (age of onset) (year increase)",3
"1235","Narcolepsy (NA)",6
"1236","Narcolepsy (onset before 2009 H1N1 influenza pandemic) (NA)",2
"1237","Narcolepsy with cataplexy (NA)",1
"1238","Nasopharyngeal carcinoma (NA)",9
"1239","Natriuretic peptide levels (unit increase)",1
"1240","Neonatal lupus (NA)",1
"1241","Nephrolithiasis (NA)",3
"1242","Nephropathy (NA)",6
"1243","Neuranatomic and neurocognitive phenotypes (NA)",1
"1244","Neuritic plaque (Case/control) (unit increase)",1
"1245","Neuritic plaque (Ordinal) (unit increase)",1
"1246","Neuroblastoma (high-risk) (NA)",1
"1247","Neuroblastoma (NA)",8
"1248","Neurofibrillary tangles (Ordinal I) (unit increase)",1
"1249","Neutrophil count in HIV-infection (unit increase)",1
"1250","Neutrophil count (NA)",1
"1251","Neutrophil count (unit increase) (EA) (unit increase)",1
"1252","Neutrophil count (unit increase) (unit increase)",3
"1253","Nevirapine-induced rash (NA)",1
"1254","N-glycan levels (DG11) (unit increase)",1
"1255","N-glycan levels (DG1) (unit increase)",1
"1256","N-glycan levels (DG6) (unit increase)",1
"1257","N-glycan levels (DG7) (unit increase)",1
"1258","N-glycan levels (DG9) (unit increase)",1
"1259","Nicotine dependence (cigarettes per day increase) (cigarettes per day increase)",1
"1260","Nicotine dependence (NA)",1
"1261","Nicotine glucouronidation (unit increase)",1
"1262","Non-albumin protein levels (ALB) (unit increase)",1
"1263","Non-albumin protein levels (NAP) (unit increase)",3
"1264","Non-alcoholic fatty liver disease histology (other) (unit increase) (Fibrosis) (unit increase)",1
"1265","Non-alcoholic fatty liver disease (NA)",1
"1266","Nonalcoholic fatty liver disease (unit increase) (unit increase)",1
"1267","Non-melanoma skin cancer (unit increase)",2
"1268","Non-obstructive azoospermia (NA)",4
"1269","Non-small cell lung cancer (NA)",1
"1270","Nonsyndromic cleft lip with or without cleft palate (NA)",5
"1271","Obesity (early onset extreme) (NA)",12
"1272","Obesity (extreme) (NA)",2
"1273","Obesity (NA)",6
"1274","Obesity (Obesity class III) (NA)",1
"1275","Obesity (Obesity class II) (NA)",12
"1276","Obesity (Obesity class I) (NA)",20
"1277","Obesity (Obesity II) (NA)",2
"1278","Obesity (Obesity I) (NA)",3
"1279","Obesity (obesity) (NA)",1
"1280","Obesity (Overweight) (NA)",13
"1281","Obesity-related traits (µIU/mL increase) (µIU/mL increase)",1
"1282","Obesity-related traits (kcal/d increase) (Total energy expenditure adj for weight ) (kcal/d increase)",1
"1283","Obesity-related traits (mg/dL increase) (GLU ) (mg/dL increase)",1
"1284","Obesity-related traits (mg/dL increase) (TG ) (mg/dL increase)",1
"1285","Obesity-related traits (min/d increase) (Sedentary&light activity ) (min/d increase)",1
"1286","Obesity-related traits (pg/mL increase) (MCP1 ) (pg/mL increase)",3
"1287","Obesity-related traits (SD increase) (hip) (SD increase)",1
"1288","Obesity-related traits (TFM) (NA)",1
"1289","Obesity (waist) (NA)",1
"1290","Obesity (WHR) (NA)",1
"1291","Odorant perception (&beta;-ionone) (unit increase)",1
"1292","Odorant perception (isobutyraldehyde) (unit increase)",1
"1293","Oleic acid (18:1n-9) plasma levels (unit increase)",1
"1294","Oligoclonal band status in multiple sclerosis (NA)",1
"1295","Opioid sensitivity (NA)",1
"1296","Optic cup area (EA) (unit increase)",7
"1297","Optic cup area (unit increase)",15
"1298","Optic disc area (mm2 increase) (Asian) (mm2 increase)",3
"1299","Optic disc area (unit increase) (EA) (unit increase)",1
"1300","Optic disc area (unit increase) (unit increase)",13
"1301","Optic disc parameters (mm increase)",3
"1302","Optic nerve measurement (disc area) (unit increase)",2
"1303","Orofacial clefts (interaction) (NA)",1
"1304","Orofacial clefts (Meta-All, NSCL/P) (NA)",9
"1305","Orofacial clefts (Meta-All, NSCLP) (NA)",1
"1306","Orofacial clefts (NA)",2
"1307","Ossification of the posterior longitudinal ligament of the spine (NA)",6
"1308","Osteoarthritis (hand, severe) (NA)",1
"1309","Osteoarthritis (hip) (Male-specifc) (NA)",1
"1310","Osteoarthritis (hip) (NA)",1
"1311","Osteoarthritis (mm increase) (mm increase)",1
"1312","Osteoarthritis (NA)",2
"1313","Osteoporosis (NA)",3
"1314","Osteoporosis-related phenotypes (g/cm2 increase) (LS BMD, women) (g/cm2 increase)",1
"1315","Osteoporosis-related phenotypes (NA)",1
"1316","Osteoprotegerin levels (Female-specific) (unit increase)",1
"1317","Osteoprotegerin levels (Sex-combined) (unit increase)",2
"1318","Osteosarcoma (NA)",2
"1319","Other erythrocyte phenotypes (1 M cell/mm^3 increase) (1 M cell/mm^3 increase)",1
"1320","Other erythrocyte phenotypes (1 M cells/mm^3 increase) (1 M cells/mm^3 increase)",1
"1321","Other erythrocyte phenotypes (g/dl increase) (g/dl increase)",2
"1322","Otitis media (chronic/recurrent) (NA)",1
"1323","Otosclerosis (NA)",1
"1324","Ovarian cancer (All invasive) (NA)",1
"1325","Ovarian cancer in BRCA1 mutation carriers (NA)",4
"1326","Ovarian cancer (NA)",2
"1327","Ovarian cancer (Serious invasive) (NA)",7
"1328","Paget's disease (NA)",9
"1329","Pain (onset time of analgesia) (NA)",1
"1330","Palmitic acid (16:0) plasma levels (unit increase)",1
"1331","Palmitoleic acid (16:1n-7) plasma levels (unit increase)",5
"1332","Pancreatic cancer (NA)",15
"1333","Pancreatitis (NA)",2
"1334","Panic disorder (NA)",1
"1335","Paraoxonase activity (Serum Arylesterase activity) (NA)",1
"1336","Paraoxonase activity (Serum Paraoxonases activity) (NA)",1
"1337","Parent of origin effect on language impairment (paternal) (unit increase) (unit increase)",1
"1338","Parkinson's disease (Asian) (NA)",2
"1339","Parkinson's disease (EA) (NA)",3
"1340","Parkinson's disease (NA)",50
"1341","Parkinson's disease (Sporadic) (NA)",1
"1342","PCA3 expression level (unit increase)",2
"1343","Peanut allergy (NA)",1
"1344","Percent mammographic density (% increase) (% increase)",1
"1345","Percent mammographic density (NA)",2
"1346","Percent mammographic density (unit increase) (unit increase)",2
"1347","Pericardial fat (NA)",1
"1348","Periodontitis (NA)",1
"1349","Permanent tooth development (unit increase)",4
"1350","Personality dimensions (unit increase) (Openness) (unit increase)",1
"1351","Personality traits in bipolar disorder (TCI-C1) (NA)",1
"1352","Personality traits in bipolar disorder (TCI-C3) (NA)",1
"1353","Personality traits in bipolar disorder (TCI-ST1) (NA)",1
"1354","Phospholipid levels (plasma) (ALA) (% increase)",1
"1355","Phospholipid levels (plasma) (a-linolenic acid) (% increase)",1
"1356","Phospholipid levels (plasma) (DHA) (% increase)",1
"1357","Phospholipid levels (plasma) (Docosapentaenoic acid) (% increase)",1
"1358","Phospholipid levels (plasma) (DPA) (% increase)",11
"1359","Phospholipid levels (plasma) (EPA) (% increase)",7
"1360","Phospholipid levels (plasma) (levels) (% increase)",14
"1361","Phospholipid levels (plasma) (Lower docosahexaenoic acid) (% increase)",1
"1362","Phospholipid levels (plasma) (proportions) (% increase)",10
"1363","Phosphorus levels (mg/dl increase) (mg/dl increase)",4
"1364","Phosphorus levels (unit increase) (unit increase)",1
"1365","Phytosterol levels (% increase)",2
"1366","Pit-and-Fissure caries (unit increase)",1
"1367","Plasma cystastin c levels in acute coronary syndrome (mg/L increase) (mg/L increase)",1
"1368","Plasma homocysteine levels (post-methionine load test) (NA)",1
"1369","Plasma homocysteine levels (post-methionine load test) (unit increase) (unit increase)",4
"1370","Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid) (unit increase)",1
"1371","Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid) (Conditioned on rs174547) (unit increase)",1
"1372","Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid) (unit increase)",3
"1373","Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid) (Conditioned on rs16966952) (unit increase)",1
